Year,Month,Category,Market Shart,Make,Model,Private,Government - Federal,Government - State,Government - Local,Rental,Not For Profit,Company Capitalisation,Taxi,Fleet - Large,Fleet,59 (Unknown),59 = FLEET,Count 59 = fleet,Total
2022,June,Sports > $80k,FALSE,Porsche,Cayman,2,,,,,,,,,0,0,FALSE,0,2
2022,June,Sports > $80k,FALSE,Toyota,Supra,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $200k,FALSE,Aston Martin,Aston Coupe / Convertable,2,,,,,,,,,3,3,TRUE,1,5
2022,June,Sports > $200k,FALSE,Bentley,Bently Coupe / Convertable,5,,,,,,,,,0,0,FALSE,0,5
2022,June,Sports > $200k,FALSE,BMW,8 Series,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Sports > $200k,FALSE,Ferrari,Ferrari Coupe / Convertable,4,,,,,,,,,0,0,FALSE,0,4
2022,June,Sports > $200k,FALSE,McLaren,McLaren Coupe / Convertable,4,,,,,,,,,0,0,FALSE,0,4
2022,June,Sports > $200k,FALSE,Porsche,911,11,,,,,,,,,2,2,TRUE,1,13
2022,June,Passenger,TRUE,Mitsubishi,,6,,,,3,,,,,0,0,FALSE,0,9
2022,June,Passenger,TRUE,Ford,,17,,,,,,,,,0,0,FALSE,0,17
2022,June,Passenger,TRUE,Honda,,18,,,,,,,,,1,0,FALSE,0,19
2022,June,Passenger,TRUE,Hyundai,,174,,7,10,18,,,,,64,4,FALSE,0,273
2022,June,Passenger,TRUE,Kia,,189,,1,,99,,,,17,25,5,FALSE,0,331
2022,June,Passenger,TRUE,Mazda,,79,,,,,,,,,20,11,FALSE,0,99
2022,June,Passenger,TRUE,MG,,155,,,,18,,1,,,27,4,FALSE,0,201
2022,June,Passenger,TRUE,Nissan,,2,,,,,,,,,0,0,FALSE,0,2
2022,June,Passenger,TRUE,Subaru,,29,,,,,,,,,15,0,FALSE,0,44
2022,June,Passenger,TRUE,Suzuki,,68,,,,,,,,,13,4,FALSE,0,81
2022,June,Passenger,TRUE,Toyota,,128,,,,27,,2,,6,36,13,FALSE,0,199
2022,June,Passenger,TRUE,Volkswagen,,29,,,,,,,,,4,2,FALSE,0,33
2022,June,SUV Light,FALSE,Ford,Puma,1,,,,,6,,,,9,9,TRUE,1,16
2022,June,SUV Light,FALSE,Hyundai,Venue,51,,5,,37,,,,,1,1,TRUE,1,94
2022,June,SUV Light,FALSE,Kia,Stonic,37,,,,57,,,,,3,2,FALSE,0,97
2022,June,SUV Light,FALSE,Mazda,CX-3,71,,,,,,,,,12,4,FALSE,0,83
2022,June,SUV Light,FALSE,Nissan,Juke,7,,,,,,,,1,5,3,FALSE,0,13
2022,June,SUV Light,FALSE,Renault,Captur,6,,,,,,,,,4,4,TRUE,1,10
2022,June,SUV Light,FALSE,Suzuki,Ignis,7,,,,,,,,,2,1,FALSE,0,9
2022,June,SUV Light,FALSE,Suzuki,Jimny,14,,,,,,,,,4,2,FALSE,0,18
2022,June,SUV Light,FALSE,Toyota,Yaris Cross,42,,,,10,3,,,1,9,0,FALSE,0,65
2022,June,SUV Light,FALSE,Volkswagen,T-Cross,35,,,,,,,,,1,0,FALSE,0,36
2022,June,SUV Small < $40k,FALSE,GWM,Haval Jolion,71,,,,1,,,,,7,2,FALSE,0,79
2022,June,SUV Small < $40k,FALSE,Honda,HR-V,52,,,,,,,,,0,0,FALSE,0,52
2022,June,SUV Small < $40k,FALSE,Hyundai,Kona,85,,12,1,3,,,,1,7,2,FALSE,0,109
2022,June,SUV Small < $40k,FALSE,Jeep,Compass,3,,,,,,,,,22,21,FALSE,0,25
2022,June,SUV Small < $40k,FALSE,Kia,Niro,4,,,,,,,,,2,2,TRUE,1,6
2022,June,SUV Small < $40k,FALSE,Kia,Seltos,69,,,,,,,,,4,0,FALSE,0,73
2022,June,SUV Small < $40k,FALSE,Mazda,CX-30,102,,,,,,,,,20,8,FALSE,0,122
2022,June,SUV Small < $40k,FALSE,Mazda,MX-30,3,,,,,,,,,1,1,TRUE,1,4
2022,June,SUV Small < $40k,FALSE,MG,MG ZS,212,,,,,5,,,,19,8,FALSE,0,236
2022,June,SUV Small < $40k,FALSE,Mitsubishi,ASX,44,,,,8,17,,,17,13,3,FALSE,0,99
2022,June,SUV Small < $40k,FALSE,Mitsubishi,Eclipse Cross,22,,,,3,2,,,10,15,1,FALSE,0,52
2022,June,SUV Small < $40k,FALSE,Peugeot,2008,1,,,,,,,,,2,2,TRUE,1,3
2022,June,SUV Small < $40k,FALSE,Renault,Renault Arkana,11,,,,,,,,,4,4,TRUE,1,15
2022,June,SUV Small < $40k,FALSE,Skoda,Kamiq,6,,,,,,,,,8,8,TRUE,1,14
2022,June,SUV Small < $40k,FALSE,Subaru,Subaru XV,42,,,,,,,,,7,0,FALSE,0,49
2022,June,SUV Small < $40k,FALSE,Suzuki,Vitara,7,,,,,,,,,0,0,FALSE,0,7
2022,June,SUV Small < $40k,FALSE,Toyota,C-HR,46,,,,,,,,,6,1,FALSE,0,52
2022,June,SUV Small < $40k,FALSE,Volkswagen,T-Roc,12,,,,,,,,1,1,0,FALSE,0,14
2022,June,SUV Small > $40k,FALSE,Audi,Q2,2,,,,,,,,,1,0,FALSE,0,3
2022,June,SUV Small > $40k,FALSE,Audi,Q3,25,,,,,,,,,9,1,FALSE,0,34
2022,June,SUV Small > $40k,FALSE,BMW,X1,28,,,,,,,,,2,2,TRUE,1,30
2022,June,SUV Small > $40k,FALSE,BMW,X2,5,,,,,,,,,1,1,TRUE,1,6
2022,June,SUV Small > $40k,FALSE,Jaguar,E-Pace,1,,,,,,,,,3,1,FALSE,0,4
2022,June,SUV Small > $40k,FALSE,Lexus,Lexus UX,5,,,,,,,,,5,1,FALSE,0,10
2022,June,SUV Small > $40k,FALSE,Mercedes-Benz,EQA,4,,,,,,,,,2,0,FALSE,0,6
2022,June,SUV Small > $40k,FALSE,Mercedes-Benz,GLA-Class,16,,,,,,,,,4,0,FALSE,0,20
2022,June,SUV Small > $40k,FALSE,MINI,Mini Countryman,14,,,,,,,,,1,1,TRUE,1,15
2022,June,SUV Small > $40k,FALSE,Volvo,XC40,31,,,,,,,,,9,3,FALSE,0,40
2022,June,SUV Medium < $60k,FALSE,Ford,Escape,7,,,,,40,,,,1,0,FALSE,0,48
2022,June,SUV Medium < $60k,FALSE,GWM,Haval H6,60,,,,1,,,,,7,2,FALSE,0,68
2022,June,SUV Medium < $60k,FALSE,Honda,CR-V,62,,,,,,,,,1,0,FALSE,0,63
2022,June,SUV Medium < $60k,FALSE,Hyundai,Tucson,99,,7,,,,,,,15,1,FALSE,0,121
2022,June,SUV Medium < $60k,FALSE,Jeep,Cherokee,,,,,,,,,,3,3,TRUE,1,3
2022,June,SUV Medium < $60k,FALSE,Kia,Sportage,98,,,,20,,,,3,17,2,FALSE,0,138
2022,June,SUV Medium < $60k,FALSE,Mazda,CX-5,138,,,,,,,,,34,14,FALSE,0,172
2022,June,SUV Medium < $60k,FALSE,MG,HS,89,,,,32,,,,,37,17,FALSE,0,158
2022,June,SUV Medium < $60k,FALSE,Mitsubishi,Outlander,54,,,,10,2,,,34,38,2,FALSE,0,138
2022,June,SUV Medium < $60k,FALSE,Nissan,X-Trail,25,,,,,,,,6,5,1,FALSE,0,36
2022,June,SUV Medium < $60k,FALSE,Peugeot,3008,9,,,,,,,,,7,6,FALSE,0,16
2022,June,SUV Medium < $60k,FALSE,Peugeot,5008,1,,,,,,,,,0,0,FALSE,0,1
2022,June,SUV Medium < $60k,FALSE,Renault,Koleos,21,,,,,,,,,7,6,FALSE,0,28
2022,June,SUV Medium < $60k,FALSE,Skoda,Karoq,5,,,,,,,,,5,3,FALSE,0,10
2022,June,SUV Medium < $60k,FALSE,Subaru,Forester,45,,,,,,,,1,11,0,FALSE,0,58
2022,June,SUV Medium < $60k,FALSE,Toyota,RAV4,129,,,,2,1,,,4,21,3,FALSE,0,157
2022,June,SUV Medium < $60k,FALSE,Volkswagen,Tiguan,7,,,,,,,,,4,1,FALSE,0,11
2022,June,SUV Medium > $60k,FALSE,Audi,Q5,13,,,,,,,,,12,6,FALSE,0,25
2022,June,SUV Medium > $60k,FALSE,BMW,X3,35,,,,,,,,,10,10,TRUE,1,45
2022,June,SUV Medium > $60k,FALSE,BMW,X4,6,,,,,,,,,2,2,TRUE,1,8
2022,June,SUV Medium > $60k,FALSE,Genesis,GV70,9,,,,,,,,,4,0,FALSE,0,13
2022,June,SUV Medium > $60k,FALSE,Hyundai,Ioniq,4,,,,,,,,,1,0,FALSE,0,5
2022,June,SUV Medium > $60k,FALSE,Land Rover,Discovery Sport,1,,,,,,,,,3,1,FALSE,0,4
2022,June,SUV Medium > $60k,FALSE,Land Rover,Range Rover Evoque,6,,,,,,,,,3,1,FALSE,0,9
2022,June,SUV Medium > $60k,FALSE,Lexus,Lexus NX,12,,,,,,,,,8,4,FALSE,0,20
2022,June,SUV Medium > $60k,FALSE,Mercedes-Benz,EQC,,,,,,,,,,2,0,FALSE,0,2
2022,June,SUV Medium > $60k,FALSE,Mercedes-Benz,GLB-Class,5,,,,,,,,,3,0,FALSE,0,8
2022,June,SUV Medium > $60k,FALSE,Mercedes-Benz,GLC-Class Coupe,5,,,,,,,,,7,0,FALSE,0,12
2022,June,SUV Medium > $60k,FALSE,Mercedes-Benz,GLC-Class Wagon,12,,,,,,,,,8,0,FALSE,0,20
2022,June,SUV Medium > $60k,FALSE,Porsche,Macan,45,,,,,,,,,7,7,TRUE,1,52
2022,June,SUV Medium > $60k,FALSE,Volvo,XC60,20,,,,,,,,,42,19,FALSE,0,62
2022,June,SUV Large < $70k,FALSE,Ford,Everest,16,,,,,,,,,12,1,FALSE,0,28
2022,June,SUV Large < $70k,FALSE,Hyundai,Palisade,25,,4,,,,,,,8,2,FALSE,0,37
2022,June,SUV Large < $70k,FALSE,Hyundai,Santa Fe,24,,1,,,1,,,,7,0,FALSE,0,33
2022,June,SUV Large < $70k,FALSE,Isuzu,MU-X,32,,,,,,1,,,14,1,FALSE,0,47
2022,June,SUV Large < $70k,FALSE,Jeep,Grand Cherokee,10,,,,,,,,1,8,8,TRUE,1,19
2022,June,SUV Large < $70k,FALSE,Jeep,Wrangler,18,,,,,,,,,9,8,FALSE,0,27
2022,June,SUV Large < $70k,FALSE,Kia,Sorento,17,,,,,,,,1,7,0,FALSE,0,25
2022,June,SUV Large < $70k,FALSE,LDV,D90,11,,,,,,,,21,22,0,FALSE,0,54
2022,June,SUV Large < $70k,FALSE,Mazda,CX-8,42,,,,,,,,,10,5,FALSE,0,52
2022,June,SUV Large < $70k,FALSE,Mazda,CX-9,22,,,,,,,,,16,2,FALSE,0,38
2022,June,SUV Large < $70k,FALSE,Mitsubishi,Pajero Sport,24,,,,,,,,21,24,4,FALSE,0,69
2022,June,SUV Large < $70k,FALSE,Skoda,Kodiaq,3,,,,,,,,,5,5,TRUE,1,8
2022,June,SUV Large < $70k,FALSE,Ssangyong,Rexton,9,,,,,,,,2,0,0,FALSE,0,11
2022,June,SUV Large < $70k,FALSE,Subaru,Outback,43,,,1,,,,,,11,0,FALSE,0,55
2022,June,SUV Large < $70k,FALSE,Toyota,Fortuner,22,,,,,,,,,5,1,FALSE,0,27
2022,June,SUV Large < $70k,FALSE,Toyota,Kluger,25,,,,3,,,,1,13,1,FALSE,0,42
2022,June,SUV Large < $70k,FALSE,Toyota,Prado,55,,,,,,,,4,36,0,FALSE,0,95
2022,June,SUV Large < $70k,FALSE,Volkswagen,Tiguan Allspace,9,,,,,,,,,2,2,TRUE,1,11
2022,June,SUV Large > $70k,FALSE,Audi,e-tron,1,,,,,,,,,0,0,FALSE,0,1
2022,June,SUV Large > $70k,FALSE,Audi,Q7,2,,,,,,,,,10,3,FALSE,0,12
2022,June,SUV Large > $70k,FALSE,BMW,iX,2,,,,,,,,,2,2,TRUE,1,4
2022,June,SUV Large > $70k,FALSE,BMW,X5,26,,,,,,,,,4,4,TRUE,1,30
2022,June,SUV Large > $70k,FALSE,BMW,X6,13,,,,,,,,,2,2,TRUE,1,15
2022,June,SUV Large > $70k,FALSE,Jaguar,F-Pace,3,,,,,,,,,3,0,FALSE,0,6
2022,June,SUV Large > $70k,FALSE,Kia,EV6,3,,,,,,,,,1,0,FALSE,0,4
2022,June,SUV Large > $70k,FALSE,Land Rover,Defender,12,,,,,,,,,13,7,FALSE,0,25
2022,June,SUV Large > $70k,FALSE,Land Rover,Range Rover Sport,9,,,,,,,,,7,0,FALSE,0,16
2022,June,SUV Large > $70k,FALSE,Land Rover,Range Rover Velar,1,,,,,,,,,1,0,FALSE,0,2
2022,June,SUV Large > $70k,FALSE,Lexus,Lexus RX,10,,,,,,,,,12,7,FALSE,0,22
2022,June,SUV Large > $70k,FALSE,Maserati,Levante,8,,,,,,,,,1,1,TRUE,1,9
2022,June,SUV Large > $70k,FALSE,Mercedes-Benz,GLE-Class Coupe,1,,,,,,,,,2,0,FALSE,0,3
2022,June,SUV Large > $70k,FALSE,Mercedes-Benz,GLE-Class Wagon,8,,,,,,,,,8,0,FALSE,0,16
2022,June,SUV Large > $70k,FALSE,Porsche,Cayenne Coupe,14,,,,,,,,,2,2,TRUE,1,16
2022,June,SUV Large > $70k,FALSE,Porsche,Cayenne Wagen,18,,,,,,,,,6,6,TRUE,1,24
2022,June,SUV Large > $70k,FALSE,Volkswagen,Touareg,,,,,,,,,,2,1,FALSE,0,2
2022,June,SUV Large > $70k,FALSE,Volvo,XC90,9,,,,,,,,,5,5,TRUE,1,14
2022,June,SUV Upper Large <$100k,FALSE,Nissan,Patrol Wagon,49,,,,,,,,1,10,2,FALSE,0,60
2022,June,SUV Upper Large <$100k,FALSE,Toyota,Landcruiser,29,,,,1,,,,,24,1,FALSE,0,54
2022,June,SUV Upper Large >$100k,FALSE,Aston Martin,Aston Martin DBX,1,,,,,,,,,1,1,TRUE,1,2
2022,June,SUV Upper Large >$100k,FALSE,Audi,Q8,1,,,,,,,,,4,1,FALSE,0,5
2022,June,SUV Upper Large >$100k,FALSE,Bentley,Bentayga,6,,,,,,,,,2,2,TRUE,1,8
2022,June,SUV Upper Large >$100k,FALSE,BMW,X7,7,,,,,,,,,2,2,TRUE,1,9
2022,June,SUV Upper Large >$100k,FALSE,Lamborghini,Urus,2,,,,,,,,,0,0,FALSE,0,2
2022,June,SUV Upper Large >$100k,FALSE,Land Rover,Discovery,3,,,,,,,,,0,0,FALSE,0,3
2022,June,SUV Upper Large >$100k,FALSE,Lexus,Lexus LX,,,,,,,,,,3,2,FALSE,0,3
2022,June,SUV Upper Large >$100k,FALSE,Mercedes-Benz,G-Class,10,,,,,,,,,4,0,FALSE,0,14
2022,June,SUV Upper Large >$100k,FALSE,Mercedes-Benz,GLS-Class,2,,,,,,,,,3,0,FALSE,0,5
2022,June,SUV Upper Large >$100k,FALSE,Rolls-Royce,Cullinan,,,,,,,,,,1,1,TRUE,1,1
2022,June,SUV,TRUE,Mitsubishi,,144,,,,21,21,,,82,90,10,FALSE,0,358
2022,June,SUV,TRUE,Ford,,24,,,,,,,,,0,0,FALSE,0,
2022,June,SUV,TRUE,Great Wall,,131,,,,2,,,,,14,4,FALSE,0,147
2022,June,SUV,TRUE,Honda,,114,,,,,,,,,0,0,FALSE,0,
2022,June,SUV,TRUE,Hyundai,,288,,29,1,40,1,,,1,39,6,FALSE,0,399
2022,June,SUV,TRUE,Isuzu,,32,,,,,,1,,,14,1,FALSE,0,47
2022,June,SUV,TRUE,Jeep,,31,,,,,,,,1,42,40,FALSE,0,74
2022,June,SUV,TRUE,Kia,,228,,,,77,,,,4,34,6,FALSE,0,343
2022,June,SUV,TRUE,Mazda,,378,,,,,,,,,93,34,FALSE,0,471
2022,June,SUV,TRUE,MG,,301,,,,37,,,,,56,25,FALSE,0,394
2022,June,SUV,TRUE,Nissan,,81,,,,,,,,8,20,6,FALSE,0,109
2022,June,SUV,TRUE,Subaru,,130,,1,1,,,,,1,29,0,FALSE,0,162
2022,June,SUV,TRUE,Suzuki,,28,,,,,,,,,6,3,FALSE,0,34
2022,June,SUV,TRUE,Toyota,,375,,,,16,4,,,10,142,21,FALSE,0,547
2022,June,SUV,TRUE,Volkswagen,,63,,,,,,,,1,10,4,FALSE,0,74
2022,June,Light Buses < 20 Seats,FALSE,Mercedes-Benz,Sprinter Bus,1,,,,,,,,,0,0,FALSE,0,1
2022,June,Light Buses < 20 Seats,FALSE,Toyota,Hiace Bus,1,,,,14,3,,1,5,1,0,FALSE,0,25
2022,June,Light Buses < 20 Seats,FALSE,Volkswagen,Crafter Bus,1,,,,,,,,,2,0,FALSE,0,3
2022,June,Light Busses => 20 Seats,FALSE,Toyota,Coaster,,,,,1,,,,,0,0,FALSE,0,1
2022,June,Vans / CC <= 2.5t,FALSE,Renault,Kangoo,2,,,,,,,,,1,0,FALSE,0,3
2022,June,Vans / CC <= 2.5t,FALSE,Volkswagen,Caddy Van,2,,,,,,,,,0,0,FALSE,0,2
2022,June,Vans / CC 2.5t-3.5t,FALSE,Ford,Transit Custom,1,,,1,,,,,,3,0,FALSE,0,5
2022,June,Vans / CC 2.5t-3.5t,FALSE,Hyundai,Staria Load,12,,,1,2,,,,,22,1,FALSE,0,37
2022,June,Vans / CC 2.5t-3.5t,FALSE,LDV,G10/G10+,1,,,,,,,,7,29,0,FALSE,0,37
2022,June,Vans / CC 2.5t-3.5t,FALSE,LDV,V80,,,,,,,,,1,5,0,FALSE,0,6
2022,June,Vans / CC 2.5t-3.5t,FALSE,Mercedes-Benz,Vito Van,2,,,,,,,,,4,0,FALSE,0,6
2022,June,Vans / CC 2.5t-3.5t,FALSE,Mitsubishi,Express,,,,,,,,,,15,0,FALSE,0,15
2022,June,Vans / CC 2.5t-3.5t,FALSE,Peugeot,Expert,,,,,,,,,,3,2,FALSE,0,3
2022,June,Vans / CC 2.5t-3.5t,FALSE,Renault,Trafic,12,,,,,,,,1,3,1,FALSE,0,16
2022,June,Vans / CC 2.5t-3.5t,FALSE,Toyota,Hiace Van,13,,1,,4,,,,10,36,0,FALSE,0,64
2022,June,Vans / CC 2.5t-3.5t,FALSE,Volkswagen,Transporter,5,,,,,,,,1,1,0,FALSE,0,7
