Year,Month,Category,Electric,Make,Model,Customer Category,Qty
2022,June,Large > $70k,FALSE,Maserati,Ghibli,Fleet,3
2022,June,Large > $70k,FALSE,Maserati,Ghibli,59 (Unknown),3
2022,June,Large > $70k,FALSE,Mercedes-Benz,E-Class,Private,0
2022,June,Large > $70k,FALSE,Mercedes-Benz,E-Class,Fleet,1
2022,June,Large > $70k,TRUE,Porsche,Taycan,Private,8
2022,June,Large > $70k,TRUE,Porsche,Taycan,Fleet,3
2022,June,Large > $70k,TRUE,Porsche,Taycan,59 (Unknown),3
2022,June,Upper Large < $100k,FALSE,Chrysler,Chrysler 300,Private,0
2022,June,Upper Large < $100k,FALSE,Chrysler,Chrysler 300,Fleet,1
2022,June,Upper Large < $100k,FALSE,Chrysler,Chrysler 300,59 (Unknown),1
2022,June,Upper Large > $100k,FALSE,Bentley,Bentley Sedan,Private,1
2022,June,Upper Large > $100k,FALSE,BMW,7 Series,Private,1
2022,June,Upper Large > $100k,FALSE,BMW,8 Series Gran Coupe,Private,1
2022,June,Upper Large > $100k,FALSE,Lexus,Lexus LS,Private,1
2022,June,Upper Large > $100k,FALSE,Mercedes-Benz,S-Class,Private,4
2022,June,Upper Large > $100k,FALSE,Mercedes-Benz,S-Class,Fleet,1
2022,June,Upper Large > $100k,FALSE,Porsche,Panamera,Private,1
2022,June,People Movers < $60k,FALSE,Honda,Odyssey,Private,10
2022,June,People Movers < $60k,FALSE,Hyundai,Staria,Private,10
2022,June,People Movers < $60k,FALSE,Hyundai,Staria,Rental,6
2022,June,People Movers < $60k,FALSE,Hyundai,Staria,Fleet,4
2022,June,People Movers < $60k,FALSE,Kia,Carnival,Private,22
2022,June,People Movers < $60k,FALSE,Kia,Carnival,Government - State,1
2022,June,People Movers < $60k,FALSE,Kia,Carnival,Rental,52
2022,June,People Movers < $60k,FALSE,Kia,Carnival,Fleet - Large,16
2022,June,People Movers < $60k,FALSE,Kia,Carnival,Fleet,2
2022,June,People Movers < $60k,FALSE,Kia,Carnival,59 (Unknown),1
2022,June,People Movers < $60k,FALSE,LDV,G10 Wagon,Private,2
2022,June,People Movers < $60k,FALSE,LDV,G10 Wagon,Fleet,7
2022,June,People Movers < $60k,FALSE,Volkswagen,Caddy,Private,1
2022,June,People Movers > $60k,FALSE,Mercedes-Benz,V-Class,Private,3
2022,June,People Movers > $60k,FALSE,Mercedes-Benz,V-Class,Fleet,3
2022,June,People Movers > $60k,FALSE,Mercedes-Benz,Valente,Private,1
2022,June,People Movers > $60k,FALSE,Mercedes-Benz,Valente,Fleet,1
2022,June,People Movers > $60k,FALSE,Toyota,Granvia,Private,0
2022,June,People Movers > $60k,FALSE,Toyota,Granvia,Fleet,1
2022,June,Sports < $80k,FALSE,BMW,2 Series Gran Coupe / Convertable,Private,2
2022,June,Sports < $80k,FALSE,BMW,2 Series Gran Coupe / Convertable,Fleet,2
2022,June,Sports < $80k,FALSE,BMW,2 Series Gran Coupe / Convertable,59 (Unknown),2
2022,June,Sports < $80k,FALSE,Ford,Mustang,Private,15
2022,June,Sports < $80k,FALSE,Mazda,MX-5,Private,3
2022,June,Sports < $80k,FALSE,MINI,Mini Cabrio,Private,7
2022,June,Sports < $80k,FALSE,Subaru,BRZ,Private,8
2022,June,Sports < $80k,FALSE,Subaru,BRZ,Fleet,1
2022,June,Sports > $80k,FALSE,Audi,A5,Private,0
2022,June,Sports > $80k,FALSE,Audi,A5,Fleet,2
2022,June,Sports > $80k,FALSE,Audi,A5,59 (Unknown),1
2022,June,Sports > $80k,FALSE,BMW,4 Series Coupe / Convertable,Private,10
2022,June,Sports > $80k,FALSE,BMW,Z4,Private,1
2022,June,Sports > $80k,FALSE,Chevrolet,Corvette Stingray,Private,1
2022,June,Sports > $80k,FALSE,Jaguar,F-Type,Private,1
2022,June,Sports > $80k,FALSE,Mercedes-Benz,C-Class Coupe / Convertable,Private,4
2022,June,Sports > $80k,FALSE,Mercedes-Benz,C-Class Coupe / Convertable,Fleet,4
2022,June,Sports > $80k,FALSE,Mercedes-Benz,E-Class Coupe / Convertable,Private,1
2022,June,Sports > $80k,FALSE,Porsche,Boxster,Private,0
2022,June,Sports > $80k,FALSE,Porsche,Boxster,Fleet,1
2022,June,Sports > $80k,FALSE,Porsche,Boxster,59 (Unknown),1
2022,June,Sports > $80k,FALSE,Porsche,Cayman,Private,2
2022,June,Sports > $80k,FALSE,Toyota,Supra,Private,1
2022,June,Sports > $200k,FALSE,Aston Martin,Aston Coupe / Convertable,Private,2
2022,June,Sports > $200k,FALSE,Aston Martin,Aston Coupe / Convertable,Fleet,3
2022,June,Sports > $200k,FALSE,Aston Martin,Aston Coupe / Convertable,59 (Unknown),3
2022,June,Sports > $200k,FALSE,Bentley,Bently Coupe / Convertable,Private,5
2022,June,Sports > $200k,FALSE,BMW,8 Series,Private,1
2022,June,Sports > $200k,FALSE,Ferrari,Ferrari Coupe / Convertable,Private,4
2022,June,Sports > $200k,FALSE,McLaren,McLaren Coupe / Convertable,Private,4
2022,June,Sports > $200k,FALSE,Porsche,911,Private,11
